version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 1,"domains: general, science, math, social_studies",,,,,,
transportation,social_studies,1,19,,,,,,,,
government,social_studies,1,18,,,,,,,,
native,social_studies,1,18,,,,,,,,
king,social_studies,1,15,,,,,,,,
continent,social_studies,1,14,,,,,,,,
property,social_studies,1,14,,,,,,,,
trade,social_studies,1,14,,,,,,,,
colony,social_studies,1,13,,,,,,,,
freedom,social_studies,1,13,,,,,,,,
market,social_studies,1,13,,,,,,,,
custom,social_studies,1,12,,,,,,,,
independence,social_studies,1,12,,,,,,,,
party,social_studies,1,11,,,,,,,,
pilgrim,social_studies,1,11,,,,,,,,
plain,social_studies,1,11,,,,,,,,
celebration,social_studies,1,10,,,,,,,,
citizenship,social_studies,1,10,,,,,,,,
factory,social_studies,1,10,,,,,,,,
crop,social_studies,1,9,,,,,,,,
volunteer,social_studies,1,9,,,,,,,,
constitution,social_studies,1,8,,,,,,,,
folktale,social_studies,1,8,,,,,,,,
governor,social_studies,1,8,,,,,,,,
mayor,social_studies,1,8,,,,,,,,
museum,social_studies,1,8,,,,,,,,
nation,social_studies,1,8,,,,,,,,
pledge,social_studies,1,8,,,,,,,,
invention,social_studies,1,7,,,,,,,,
language,social_studies,1,7,,,,,,,,
route,social_studies,1,7,,,,,,,,
capital,social_studies,1,6,,,,,,,,
statue,social_studies,1,6,,,,,,,,
grace,social_studies,1,5,,,,,,,,
immigrant,social_studies,1,5,,,,,,,,
war,social_studies,1,5,,,,,,,,
atlas,social_studies,1,4,,,,,,,,
capitol,social_studies,1,4,,,,,,,,
discover,social_studies,1,4,,,,,,,,
geography,social_studies,1,4,,,,,,,,
border,social_studies,1,3,,,,,,,,
cattle,social_studies,1,3,,,,,,,,
dam,social_studies,1,3,,,,,,,,
landmark,social_studies,1,3,,,,,,,,
literary,social_studies,1,3,,,,,,,,
narrator,social_studies,1,3,,,,,,,,
principal,social_studies,1,3,,,,,,,,
suburb,social_studies,1,3,,,,,,,,
wheat,social_studies,1,3,,,,,,,,
