version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 9-12,domains: science

Word,Domain,Grade,Grade 9-12 Frequency
pacemaker,science,9-12,19
protista,science,9-12,19
repressor,science,9-12,19
solvation,science,9-12,19
stoichiometric,science,9-12,19
streamline,science,9-12,19
systemic,science,9-12,19
tetrapod,science,9-12,19
adhesive,science,9-12,18
bivalve,science,9-12,18
carcinogen,science,9-12,18
commercially,science,9-12,18
contaminant,science,9-12,18
copepod,science,9-12,18
crosscutting,science,9-12,18
detection,science,9-12,18
disaccharide,science,9-12,18
ectoderm,science,9-12,18
endoderm,science,9-12,18
energize,science,9-12,18
fragmentation,science,9-12,18
gibberellin,science,9-12,18
immature,science,9-12,18
internally,science,9-12,18
jawless,science,9-12,18
keratin,science,9-12,18
keystone,science,9-12,18
larval,science,9-12,18
lytic,science,9-12,18
migratory,science,9-12,18
monochromatic,science,9-12,18
monotreme,science,9-12,18
municipality,science,9-12,18
nanometer,science,9-12,18
optic,science,9-12,18
protostome,science,9-12,18
reagent,science,9-12,18
regulator,science,9-12,18
solubilities,science,9-12,18
subdivision,science,9-12,18
tusk,science,9-12,18
vegetative,science,9-12,18
xenon,science,9-12,18
adhesion,science,9-12,17
airborne,science,9-12,17
anatomical,science,9-12,17
anthropoid,science,9-12,17
artesian,science,9-12,17
artificially,science,9-12,17
axial,science,9-12,17
blackbody,science,9-12,17
byproduct,science,9-12,17
coexist,science,9-12,17
cyanide,science,9-12,17
cytoskeleton,science,9-12,17
directional,science,9-12,17
electrophoresis,science,9-12,17
fluke,science,9-12,17
glycogen,science,9-12,17
gravitationally,science,9-12,17
hypotonic,science,9-12,17
interestingly,science,9-12,17
intrinsic,science,9-12,17
macromolecules,science,9-12,17
micrograph,science,9-12,17
monatomic,science,9-12,17
mountaintop,science,9-12,17
nomenclature,science,9-12,17
osmotic,science,9-12,17
phenolphthalein,science,9-12,17
phylogeny,science,9-12,17
plutonium,science,9-12,17
polymerization,science,9-12,17
puberty,science,9-12,17
radiator,science,9-12,17
ribosomal,science,9-12,17
somatic,science,9-12,17
submicroscopic,science,9-12,17
superconductor,science,9-12,17
triassic,science,9-12,17
trioxide,science,9-12,17
tunicate,science,9-12,17
untreated,science,9-12,17
ventral,science,9-12,17
veterinary,science,9-12,17
adenosine,science,9-12,16
amide,science,9-12,16
amylase,science,9-12,16
antifreeze,science,9-12,16
blastula,science,9-12,16
chromate,science,9-12,16
conglomerate,science,9-12,16
cropland,science,9-12,16
dermal,science,9-12,16
detritivore,science,9-12,16
developmental,science,9-12,16
dialysis,science,9-12,16
endosperm,science,9-12,16
ferment,science,9-12,16
genomic,science,9-12,16
hadron,science,9-12,16
hagfish,science,9-12,16
headlight,science,9-12,16
hectare,science,9-12,16
kerosene,science,9-12,16
krypton,science,9-12,16
microarray,science,9-12,16
mutate,science,9-12,16
mycorrhizae,science,9-12,16
myosin,science,9-12,16
octane,science,9-12,16
pharmaceutical,science,9-12,16
pharyngeal,science,9-12,16
photoelectron,science,9-12,16
proliferation,science,9-12,16
refrigerant,science,9-12,16
segmentation,science,9-12,16
sessile,science,9-12,16
tritium,science,9-12,16
anthrax,science,9-12,15
anthropogenic,science,9-12,15
bicarbonate,science,9-12,15
biochemistry,science,9-12,15
calibrate,science,9-12,15
cephei,science,9-12,15
cladistic,science,9-12,15
coinage,science,9-12,15
coordination,science,9-12,15
crystallization,science,9-12,15
cytosol,science,9-12,15
dehydration,science,9-12,15
exocytosis,science,9-12,15
eyeglass,science,9-12,15
frictionless,science,9-12,15
halide,science,9-12,15
halocarbon,science,9-12,15
hominin,science,9-12,15
hypertonic,science,9-12,15
illumination,science,9-12,15
lancelet,science,9-12,15
leukemia,science,9-12,15
lysogenic,science,9-12,15
mammary,science,9-12,15
mandible,science,9-12,15
manure,science,9-12,15
measles,science,9-12,15
medulla,science,9-12,15
mycelium,science,9-12,15
neutrino,science,9-12,15
occupant,science,9-12,15
oily,science,9-12,15
overheat,science,9-12,15
pandemic,science,9-12,15
pathologist,science,9-12,15
plasmodium,science,9-12,15
protozoa,science,9-12,15
purification,science,9-12,15
reforestation,science,9-12,15
rotifer,science,9-12,15
siphon,science,9-12,15
supermassive,science,9-12,15
thorax,science,9-12,15
vestigial,science,9-12,15
wavefront,science,9-12,15
abdominal,science,9-12,14
autoimmune,science,9-12,14
bacteriophage,science,9-12,14
centrifugal,science,9-12,14
cephalopod,science,9-12,14
chlorofluorocarbon,science,9-12,14
coronal,science,9-12,14
corrode,science,9-12,14
deuterium,science,9-12,14
encode,science,9-12,14
forceps,science,9-12,14
gradualism,science,9-12,14
habilis,science,9-12,14
heterotrophic,science,9-12,14
illuminance,science,9-12,14
incoherent,science,9-12,14
interparticle,science,9-12,14
lepton,science,9-12,14
locomotion,science,9-12,14
mutualistic,science,9-12,14
nonspecific,science,9-12,14
overlying,science,9-12,14
overproduction,science,9-12,14
parsec,science,9-12,14
phosphoric,science,9-12,14
pinpoint,science,9-12,14
pressurize,science,9-12,14
pulsar,science,9-12,14
quaternary,science,9-12,14
recombination,science,9-12,14
rhinoceros,science,9-12,14
scarp,science,9-12,14
shingle,science,9-12,14
sunlit,science,9-12,14
superscript,science,9-12,14
survivorship,science,9-12,14
taxonomy,science,9-12,14
trimester,science,9-12,14
tubules,science,9-12,14
unreactive,science,9-12,14
actinide,science,9-12,13
adverse,science,9-12,13
anhydrous,science,9-12,13
anole,science,9-12,13
apogee,science,9-12,13
arthritis,science,9-12,13
autosomal,science,9-12,13
biogeochemical,science,9-12,13
botanist,science,9-12,13
carboniferous,science,9-12,13
carnivorous,science,9-12,13
celt,science,9-12,13
chemosynthesis,science,9-12,13
chlorate,science,9-12,13
chromatic,science,9-12,13
cyclical,science,9-12,13
dung,science,9-12,13
dynamics,science,9-12,13
extracellular,science,9-12,13
fissionable,science,9-12,13
foliage,science,9-12,13
gastropod,science,9-12,13
geneticist,science,9-12,13
geosphere,science,9-12,13
glaciation,science,9-12,13
halides,science,9-12,13
hypochlorite,science,9-12,13
implementation,science,9-12,13
infest,science,9-12,13
infiltration,science,9-12,13
jurassic,science,9-12,13
keton,science,9-12,13
kilocalorie,science,9-12,13
lemur,science,9-12,13
luminol,science,9-12,13
macrophages,science,9-12,13
multimeter,science,9-12,13
nonvolatile,science,9-12,13
oceanography,science,9-12,13
oleic,science,9-12,13
operant,science,9-12,13
paramecia,science,9-12,13
perigee,science,9-12,13
phenotypic,science,9-12,13
poultry,science,9-12,13
predatory,science,9-12,13
redshift,science,9-12,13
scalpel,science,9-12,13
seamount,science,9-12,13
selenium,science,9-12,13
sill,science,9-12,13
snout,science,9-12,13
speedometer,science,9-12,13
spontaneity,science,9-12,13
subsidence,science,9-12,13
taxa,science,9-12,13
thrush,science,9-12,13
undersea,science,9-12,13
unpaired,science,9-12,13
vanadium,science,9-12,13
volcanism,science,9-12,13
wavelike,science,9-12,13
yolk,science,9-12,13
accretion,science,9-12,12
acetylene,science,9-12,12
antimony,science,9-12,12
auditory,science,9-12,12
bioluminescence,science,9-12,12
biomedical,science,9-12,12
biota,science,9-12,12
carpel,science,9-12,12
catabolism,science,9-12,12
catapult,science,9-12,12
cephalothorax,science,9-12,12
ciliate,science,9-12,12
coloration,science,9-12,12
constrict,science,9-12,12
cytokinin,science,9-12,12
deterioration,science,9-12,12
disinfectant,science,9-12,12
emulsion,science,9-12,12
encase,science,9-12,12
freckle,science,9-12,12
gastrula,science,9-12,12
glucagon,science,9-12,12
habituation,science,9-12,12
heritable,science,9-12,12
ignition,science,9-12,12
intestinal,science,9-12,12
isotonic,science,9-12,12
karst,science,9-12,12
ketone,science,9-12,12
linearly,science,9-12,12
nondisjunction,science,9-12,12
nonnative,science,9-12,12
pelvic,science,9-12,12
physiological,science,9-12,12
pith,science,9-12,12
resonator,science,9-12,12
rubidium,science,9-12,12
rupture,science,9-12,12
stabilization,science,9-12,12
supercluster,science,9-12,12
thyroxine,science,9-12,12
triad,science,9-12,12
turbidity,science,9-12,12
unavailable,science,9-12,12
unsustainable,science,9-12,12
windward,science,9-12,12
ailment,science,9-12,11
antinode,science,9-12,11
apoptosis,science,9-12,11
archaeopteryx,science,9-12,11
autosomes,science,9-12,11
basaltic,science,9-12,11
bismuth,science,9-12,11
blastocyst,science,9-12,11
caecilian,science,9-12,11
cancerous,science,9-12,11
contractile,science,9-12,11
corrosive,science,9-12,11
cycad,science,9-12,11
deletion,science,9-12,11
demographer,science,9-12,11
deoxyribose,science,9-12,11
diarrhea,science,9-12,11
dilution,science,9-12,11
ejection,science,9-12,11
elongation,science,9-12,11
enamel,science,9-12,11
exoplanet,science,9-12,11
expend,science,9-12,11
ganglia,science,9-12,11
gastric,science,9-12,11
gypsum,science,9-12,11
histamine,science,9-12,11
homeobox,science,9-12,11
homeotic,science,9-12,11
hominoid,science,9-12,11
hornwort,science,9-12,11
hydrilla,science,9-12,11
hydropower,science,9-12,11
hygiene,science,9-12,11
indivisible,science,9-12,11
inertial,science,9-12,11
inhibition,science,9-12,11
interlock,science,9-12,11
linnaean,science,9-12,11
magnetite,science,9-12,11
metamorphose,science,9-12,11
nasal,science,9-12,11
nematode,science,9-12,11
nonpoint,science,9-12,11
nucleolus,science,9-12,11
phagocytosis,science,9-12,11
porosity,science,9-12,11
preexist,science,9-12,11
relativistic,science,9-12,11
sanitary,science,9-12,11
seasonally,science,9-12,11
setae,science,9-12,11
smokestack,science,9-12,11
spleen,science,9-12,11
splice,science,9-12,11
sporangium,science,9-12,11
synthase,science,9-12,11
testosterone,science,9-12,11
tetrahedral,science,9-12,11
thermodynamic,science,9-12,11
toxicity,science,9-12,11
translational,science,9-12,11
transuranium,science,9-12,11
triphosphate,science,9-12,11
uracil,science,9-12,11
vaccinate,science,9-12,11
wafer,science,9-12,11
wobble,science,9-12,11
zooplankton,science,9-12,11
advent,science,9-12,10
appendicular,science,9-12,10
australopithecine,science,9-12,10
barbell,science,9-12,10
basal,science,9-12,10
beet,science,9-12,10
binaries,science,9-12,10
bluish,science,9-12,10
brownian,science,9-12,10
carapace,science,9-12,10
catalyze,science,9-12,10
centromere,science,9-12,10
cholerae,science,9-12,10
collagen,science,9-12,10
constructively,science,9-12,10
coverslip,science,9-12,10
crevasse,science,9-12,10
dihydrogen,science,9-12,10
disulfide,science,9-12,10
diversification,science,9-12,10
dolly,science,9-12,10
ecologically,science,9-12,10
eudicot,science,9-12,10
fissure,science,9-12,10
fluorescence,science,9-12,10
forelimb,science,9-12,10
galilean,science,9-12,10
gasohol,science,9-12,10
glycol,science,9-12,10
gosling,science,9-12,10
gravitropism,science,9-12,10
gumdrop,science,9-12,10
hemophilia,science,9-12,10
hepatitis,science,9-12,10
histone,science,9-12,10
humpback,science,9-12,10
hydration,science,9-12,10
hypha,science,9-12,10
interferometry,science,9-12,10
interferon,science,9-12,10
irregularly,science,9-12,10
lode,science,9-12,10
lubricate,science,9-12,10
mafic,science,9-12,10
megaspore,science,9-12,10
meltwater,science,9-12,10
metabolize,science,9-12,10
micrometer,science,9-12,10
microsphere,science,9-12,10
mitotic,science,9-12,10
mucous,science,9-12,10
mutagen,science,9-12,10
naphthalene,science,9-12,10
nuclide,science,9-12,10
pentane,science,9-12,10
phosphor,science,9-12,10
probeware,science,9-12,10
radula,science,9-12,10
randomness,science,9-12,10
recombine,science,9-12,10
sarcomere,science,9-12,10
septum,science,9-12,10
songbird,science,9-12,10
spatula,science,9-12,10
spew,science,9-12,10
stimulant,science,9-12,10
stratospheric,science,9-12,10
superconduct,science,9-12,10
taxon,science,9-12,10
thermonuclear,science,9-12,10
thorium,science,9-12,10
triton,science,9-12,10
unpolarized,science,9-12,10
uphill,science,9-12,10
wavelet,science,9-12,10
abnormally,science,9-12,9
airflow,science,9-12,9
antiseptic,science,9-12,9
archaebacteria,science,9-12,9
bacillus,science,9-12,9
bioremediation,science,9-12,9
borax,science,9-12,9
convective,science,9-12,9
crustal,science,9-12,9
detectable,science,9-12,9
engulf,science,9-12,9
eucalyptus,science,9-12,9
exhalation,science,9-12,9
eyespot,science,9-12,9
farsightedness,science,9-12,9
flagellate,science,9-12,9
formic,science,9-12,9
gallbladder,science,9-12,9
hematite,science,9-12,9
hexane,science,9-12,9
hookworm,science,9-12,9
hydroelectricity,science,9-12,9
inactivity,science,9-12,9
inbreed,science,9-12,9
incisor,science,9-12,9
lubricant,science,9-12,9
lymphocytes,science,9-12,9
meltdown,science,9-12,9
mesh,science,9-12,9
millipede,science,9-12,9
muskrat,science,9-12,9
mutant,science,9-12,9
nitrite,science,9-12,9
olfactory,science,9-12,9
parathyroid,science,9-12,9
pelvis,science,9-12,9
pepsin,science,9-12,9
permanganate,science,9-12,9
photoperiodism,science,9-12,9
phototropism,science,9-12,9
polystyrene,science,9-12,9
prong,science,9-12,9
radiative,science,9-12,9
reabsorb,science,9-12,9
rearrangement,science,9-12,9
recyclable,science,9-12,9
regeneration,science,9-12,9
resin,science,9-12,9
riverbed,science,9-12,9
roentgen,science,9-12,9
saline,science,9-12,9
semipermeable,science,9-12,9
simultaneous,science,9-12,9
stalactite,science,9-12,9
stoma,science,9-12,9
supercool,science,9-12,9
supersonic,science,9-12,9
tellurium,science,9-12,9
tuatara,science,9-12,9
tubular,science,9-12,9
ultrasonic,science,9-12,9
undigested,science,9-12,9
uniformitarianism,science,9-12,9
visibility,science,9-12,9
yellowish,science,9-12,9
abrasive,science,9-12,8
aftershock,science,9-12,8
anemia,science,9-12,8
aneroid,science,9-12,8
anteater,science,9-12,8
bask,science,9-12,8
biogeography,science,9-12,8
epidermal,science,9-12,8
farsighted,science,9-12,8
feathery,science,9-12,8
francium,science,9-12,8
gibbous,science,9-12,8
greenish,science,9-12,8
horsepower,science,9-12,8
hydrostatic,science,9-12,8
insertion,science,9-12,8
latex,science,9-12,8
lynx,science,9-12,8
magnetosphere,science,9-12,8
meniscus,science,9-12,8
microprocessor,science,9-12,8
milankovitch,science,9-12,8
mnemonic,science,9-12,8
mollusk,science,9-12,8
occluded,science,9-12,8
odorless,science,9-12,8
ornamental,science,9-12,8
overpopulation,science,9-12,8
physiology,science,9-12,8
preservative,science,9-12,8
radiocarbon,science,9-12,8
rechargeable,science,9-12,8
refrigeration,science,9-12,8
saclike,science,9-12,8
scaly,science,9-12,8
seam,science,9-12,8
semicircular,science,9-12,8
streetlight,science,9-12,8
stromatolite,science,9-12,8
tweezer,science,9-12,8
varnish,science,9-12,8
alchemist,science,9-12,7
amethyst,science,9-12,7
aorta,science,9-12,7
aphid,science,9-12,7
arn,science,9-12,7
autotrophic,science,9-12,7
biennial,science,9-12,7
biodiesel,science,9-12,7
bullfrog,science,9-12,7
certification,science,9-12,7
colorblind,science,9-12,7
compaction,science,9-12,7
cytochrome,science,9-12,7
disinfect,science,9-12,7
dryness,science,9-12,7
ductility,science,9-12,7
emphysema,science,9-12,7
entomologist,science,9-12,7
explosively,science,9-12,7
icecap,science,9-12,7
iridium,science,9-12,7
knead,science,9-12,7
leathery,science,9-12,7
nozzle,science,9-12,7
oersted,science,9-12,7
opossum,science,9-12,7
orangutan,science,9-12,7
paleontology,science,9-12,7
reclamation,science,9-12,7
reusable,science,9-12,7
ribonucleic,science,9-12,7
stiffness,science,9-12,7
tetra,science,9-12,7
thigmotropism,science,9-12,7
airtight,science,9-12,6
beech,science,9-12,6
chisel,science,9-12,6
chrysalis,science,9-12,6
cottonwood,science,9-12,6
dowel,science,9-12,6
downwind,science,9-12,6
egret,science,9-12,6
fiberglass,science,9-12,6
fixture,science,9-12,6
fizz,science,9-12,6
fluorite,science,9-12,6
forestland,science,9-12,6
handheld,science,9-12,6
herbaceous,science,9-12,6
hornblende,science,9-12,6
icicle,science,9-12,6
kilowatt,science,9-12,6
kudzu,science,9-12,6
liquid's,science,9-12,6
mudslide,science,9-12,6
nicotine,science,9-12,6
penis,science,9-12,6
perihelion,science,9-12,6
pinhole,science,9-12,6
pushpin,science,9-12,6
putty,science,9-12,6
seabird,science,9-12,6
spiracles,science,9-12,6
stalagmite,science,9-12,6
testis,science,9-12,6
unequally,science,9-12,6
venomous,science,9-12,6
watertight,science,9-12,6
yucca,science,9-12,6
blackbird,science,9-12,5
cementation,science,9-12,5
cervix,science,9-12,5
chemosynthetic,science,9-12,5
euglena,science,9-12,5
flightless,science,9-12,5
gazelle,science,9-12,5
hygrometer,science,9-12,5
kiwi,science,9-12,5
mackerel,science,9-12,5
menstruation,science,9-12,5
mildew,science,9-12,5
payload,science,9-12,5
seashore,science,9-12,5
silkworm,science,9-12,5
silky,science,9-12,5
suction,science,9-12,5
updraft,science,9-12,5
earlobe,science,9-12,4
gneiss,science,9-12,4
groin,science,9-12,4
handlebar,science,9-12,4
hippopotamus,science,9-12,4
leaflike,science,9-12,4
millibar,science,9-12,4
multistep,science,9-12,4
talc,science,9-12,4
terrarium,science,9-12,4
tubelike,science,9-12,4
cattail,science,9-12,3
toucan,science,9-12,3
topaz,science,9-12,2
ursa,science,9-12,2
woodchuck,science,9-12,2
