version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 6-8,domains: science,,,,,,
isotope,science,"6,7,8",63,,MC,5,"A. The ____s are measured by counting their alpha emissions; each ____ emits alpha radiation of a characteristic frequency. B. The ____ U-23is unstable, decaying by a process called spontaneous fission.",urethra,fleece,*isotope,psychrometer
evolution,science,"6,7,8",62,,MC,5,"A. The space program is the ____ of years of research. B. Love the ____ of such failure, leaving only that deep helpless.",anode,deforestation,transmission,*evolution
optical,science,"6,7,8",60,,MC,5,A. A mirage is an ____ illusion. B. Telescopes and microscopes are ____ instruments.,methane,eutrophication,*optical,terrestrial
conversion,science,"6,7,8",58,,MC,5,A. Our neighbours have just done a loft ____ . B. The warehouse was undergoing ____ into apartments.,*conversion,colon,monoxide,bronchi
meiosis,science,"6,7,8",58,,MC,5,"A. Telophase then brings ____ I to a close: the nuclear envelope starts to form again. B. Each of the two divisions of ____ produces two daughter cells, each of which contains the same amount of nuclear material.",interglacial,*meiosis,vector,tarnish
ionic,science,"6,7,8",54,,MC,5,"A. The ____ radius varies among the elements depending on atomic number and ____ charge of the ion. B. One of the simplest is an ____ crystal like sodium chloride, the first mineral analyzed after the discovery of x-ray diffraction.",decomposition,biological,*ionic,helix
synthetic,science,"6,7,8",54,,MC,5,"A. When the ____ fabric is contrasted with the natural one, the difference is very apparent. B. When the ____ is contrasted with the natural one, the difference is very apparent.",*synthetic,electrochemical,elastic,placental
amino,science,"6,7,8",53,,MC,5,A. Eggs contain all eight essential ____ acids which we depend on for good health. B. There are many ____ acids that the body cannot synthesise itself.,villi,conveyor,leafy,*amino
glucose,science,"6,7,8",52,,MC,5,A. Insulin is used to control the rise of ____ levels in the blood. B. The doctor injected ____ into his patient's veins.,decomposition,parental,*glucose,fixation
hydrocarbon,science,"6,7,8",52,,MC,5,A. Catalysts remove most of the ____ component of this soot and so help to remove an area of risk. B. In addition Barker showed that total ____ yield was not related to rank in the bituminous materials.,buoyant,plasmid,headland,*hydrocarbon
atmospheric,science,"6,7,8",51,,MC,5,A. This software is used for modelling ____ dynamics. B. The Act imposes more stringent regulations on ____ pollution.,*atmospheric,galvanometer,asthma,mudflow
buoyant,science,"6,7,8",51,,MC,5,A. You will feel more ____ and optimistic about the future than you have for a long time. B. The raft would be more ____ if it was less heavy.,homologous,*buoyant,martian,dietary
dilate,science,"6,7,8",50,,MC,5,"A. At night, the pupils ____ to allow in more light. B. The pupils of your eyes ____ when you enter a dark room.",*dilate,alveolus,cnidarian,fallopian
enzyme,science,"6,7,8",50,,MC,5,A. The scientists are cautious about using ____ therapy on humans. B. An ____ in the saliva of the mouth starts the process of breaking down the food.,*enzyme,aspirin,mesosphere,acidity
emit,science,"6,7,8",49,,MC,5,A. The metal container began to ____ a clicking sound. B. It is unlawful for factories to ____ black smoke into the air.,waxy,*emit,alpine,diode
mitosis,science,"6,7,8",48,,MC,5,"A. Thus, in effect, before ____ a normal body cell of an animal contains four functional sets of chromosomes. B. After ____ it is in general essential that each daughter cell finishes up with the right number of chromosomes.",gemstone,transfusion,*mitosis,pharynx
physics,science,"6,7,8",48,,MC,5,A. He taught ____ to the students at a college ten years ago. B. This ____ book breaks fresh ground.,magnification,microclimate,*physics,fallopian
phenotype,science,"6,7,8",46,,MC,5,A. Association between genotype and ____ has been observed and is supported by expression studies. B. Recombinant plaques with a white ____ were isolated.,seedless,unsaturated,diffuse,*phenotype
spherical,science,"6,7,8",46,,MC,5,"A. He studies ____ geometry. B. Figure 3.shows one two-dimensional surface, a ____ surface; and Fig. 3.shows another, a cylindrical surface.",*spherical,bromine,displace,piston
nuclei,science,"6,7,8",45,,MC,5,A. Iron ____ have the largest binding energy per nucleon; hence neither fission nor fusion can release further energy. B. She noticed that the ____ of the cells of the quail embryo looked slightly different from those of the chick embryo.,retina,canister,wasp,*nuclei
relatively,science,"6,7,8",45,,MC,5,A. The system is ____ easy to use. B. He charged a ____ modest fee.,threadlike,lithium,*relatively,node
rotational,science,"6,7,8",45,,MC,5,A. The event is held on a ____ basis in each of the participating countries. B. The answer is simple: it taps the ____ energy of Mars.,intrusion,eject,optimum,*rotational
biodiversity,science,"6,7,8",43,,MC,5,A. The newcomers can pose a threat to ____ by altering ecosystems. B. There is a vast untapped genetic and metabolic ____ in nature that can also be harnessed.,colon,seesaw,snowstorm,*biodiversity
synthesis,science,"6,7,8",43,,MC,5,A. We made a ____ of their studies. B. Her novels are an odd ____ of English reserve and Welsh emotionalism.,hominid,auxin,gully,*synthesis
europa,science,"6,7,8",42,,MC,5,A. He checked in at the ____ Hotel. B. ____ House is one of those hundreds of nondescript buildings along the Bath Road.,axon,*europa,radioactive,beta
genotype,science,"6,7,8",42,,MC,5,"A. Association between ____ and phenotype has been observed and is supported by expression studies. B. The ____ is the set of genes it inherited, the phenotype is what it looks like.",*genotype,alluvial,pancreas,pasteurization
inheritance,science,"6,7,8",42,,MC,5,A. She feared losing her ____ to her stepmother. B. She spent all her ____ in a year.,multilingual,*inheritance,axon,antenna
pigment,science,"6,7,8",42,,MC,5,"A. Melanin is the dark brown ____ of the hair, skin and eyes. B. Melanin is the dark brown ____ of the hair, skin and eyes which is present in varying amounts in every human being.",loudspeaker,unsaturated,beta,*pigment
transverse,science,"6,7,8",42,,MC,5,"A. A ____ bar joins the two posts. B. Limb regions were isolated by four ____ cuts through the trunk, one above and one below each pair of limbs.",planetary,dendrite,*transverse,eardrum
diffusion,science,"6,7,8",41,,MC,5,A. There are data on the rates of ____ of molecules. B. We are not talking simply of the ____ of a particular weaving and colour pattern.,amniotic,inactive,pupil,*diffusion
topographic,science,"6,7,8",40,,MC,5,"A. All of the various ____ features observed in lunar craters indicates their impact origin. B. Furthermore, according to the ____ names that appear in the same tablet and the nearby places, we suggest an approximate range of the radiation zone.",influenza,wasp,endothermic,*topographic
covalent,science,"6,7,8",39,,MC,5,"A. When small atoms bond together through ionic or ____ chemical bonds, the compactness of the bond makes it extremely strong. B. The valency of an atom in a ____ molecule is the number of electrons shared by the atom in forming the bond.",*covalent,anaphase,detector,metaphase
evolve,science,"6,7,8",39,,MC,5,A. Each school must ____ its own way of working. B. A perfunctory love lost ____ into black and white color.,flagellum,*evolve,petri,isotope
fission,science,"6,7,8",39,,MC,5,A. The ____ of the cell could be inhibited with certain chemicals. B. All commercial nuclear power is provided by ____ at the present time.,eardrum,colorblindness,valence,*fission
focal,science,"6,7,8",39,,MC,5,A. The swimming pool is the ____ point of the hotel. B. The school provides a ____ point for the local community.,helix,*focal,genome,permafrost
oceanic,science,"6,7,8",39,,MC,5,"A. In the east, the water is mainly ____ with relatively minor dilution from direct monsoonal rainfall and runoff from small streams. B. Continental lithosphere stands higher than ____ lithosphere because continental crust is both of greater thickness and lower density than ____ crust.",*oceanic,multilingual,placental,luminosity
positively,science,"6,7,8",39,,MC,5,A. Sugar is ____ detrimental to bodybuilding. B. That skirt of hers is ____ indecent.,phagocyte,*positively,ampere,anatomy
zygote,science,"6,7,8",39,,MC,5,"A. But in the ____ the male and female genomes remain separate until the ____ itself divides. B. Thus, a ____ is clearly capable of giving rise to all the different kinds of cells in the body.",uplift,*zygote,starch,primate
antibody,science,"6,7,8",38,,MC,5,A. In addition the monoclonal ____ showed weak cross reactivity with epithelium. B. This monoclonal ____ shows no cross reactivity with transforming growth factor alpha.,inversion,*antibody,amplify,deflation
immunity,science,"6,7,8",38,,MC,5,A. The island's inhabitants had no ____ to the diseases carried by the explorers and quickly succumbed. B. The vaccine provides longer ____ against flu.,waxy,*immunity,pivot,fingernail
uterus,science,"6,7,8",38,,MC,5,A. The embryo is placed into the ____ where it has a chance to implant. B. The ____ is supplied with a rich network of blood vessels and nerves.,*uterus,commutator,biological,depletion
gamma,science,"6,7,8",37,,MC,5,"A. During irradiation, food is exposed to ____ rays from sources such as cobalt 6or cesium 137. B. These X rays and ____ rays are like waves of light, but with a much shorter wavelength.",*gamma,correlate,oxidation,allergy
centipede,science,"6,7,8",36,,MC,5,"A. How many legs does a ____ have? B. From his mouth crawled a long, dead ____ of dried blood.",semiarid,airway,crustacean,*centipede
interference,science,"6,7,8",36,,MC,5,A. I resent his ____ in my work. B. He hates ____ with his work.,cerebrum,doorknob,femur,*interference
lipid,science,"6,7,8",36,,MC,5,A. This malabsorption results in an excess ____ accumulation in the feces that is known as steatorrhea. B. Plasma ____ concentrations and death rates from ischaemic heart disease vary according to the method of infant feeding.,topography,evolve,*lipid,diploid
stimuli,science,"6,7,8",36,,MC,5,A. The animals were conditioned to respond to auditory ____ . B. Elders are not passive objects merely conditioned by ____ from society or their body.,kelvin,*stimuli,scuba,helix
fusion,science,"6,7,8",35,,MC,5,A. Brass is formed by the ____ of copper and zinc. B. His final reform was the ____ of regular and reserve forces.,*fusion,horsetail,antennae,nucleotide
biological,science,"6,7,8",34,,MC,5,A. Most young women feel a ____ need to procreate. B. Many ____ processes are controlled by hormones.,multilingual,shear,resultant,*biological
fetus,science,"6,7,8",34,,MC,5,"A. No one knows why a ____ is not automatically rejected by the mother's immune system. B. Suspended in amniotic fluid, the ____ is also weightless.",seaweed,*fetus,magnetize,uterus
overlapping,science,"6,7,8",34,,MC,5,A. The floor was protected with ____ sheets of newspaper. B. The ____ slates of the roofs in the mountain village resembled fish scales.,depletion,*overlapping,hurl,utility
reduction,science,"6,7,8",34,,MC,5,A. The changes may result in a greater ____ in employee numbers than we had previously expected. B. They cynically tried to trade off a ____ in the slaughter of dolphins against a resumption of commercial whaling.,bronchi,symbiotic,gecko,*reduction
starch,science,"6,7,8",34,,MC,5,A. Corn ____ is used as a thickener in stews. B. Sugar and ____ are broken down in the stomach.,subduction,rotational,malleable,*starch
colon,science,"6,7,8",33,,MC,5,"A. Here, too, the ____ must be followed by a dash. B. Calcium may aid in the prevention of ____ cancer.",*colon,prokaryote,pupil,birch
cyclic,science,"6,7,8",33,,MC,5,"A. The object is no longer in ____ motion. B. These are usually ____ molecules, containing carbon-carbon bonds and oxygen atoms of general formula.",boreal,hydrocarbon,*cyclic,mesquite
pathogen,science,"6,7,8",33,,MC,5,"A. But now suppose the ____ becomes the tiniest fraction more virulent: say the infectivity becomes one point zero one. B. Trichostrongylus is rarely a primary ____ in temperate areas, but is usually a component of parasitic gastroenteritis in ruminants.",protostar,*pathogen,propulsion,mesquite
tidal,science,"6,7,8",33,,MC,5,A. A ____ wave caused by the earthquake hit the coast causing catastrophic damage. B. Several villages have been destroyed by a huge ____ wave.,subtropical,detergent,potassium,*tidal
methane,science,"6,7,8",32,,MC,5,A. The ignition of ____ gas killed eight men. B. The blast was caused by pockets of ____ gas that ignited.,anaphase,*methane,martian,sloth
multilingual,science,"6,7,8",32,,MC,5,"A. In fact, well-educated, ____ women from many different countries worked as international stewardesses. B. There is growing interest in ____ thesauri for application in international information retrieval networks.",clastic,*multilingual,planetary,ecological
retina,science,"6,7,8",32,,MC,5,A. Images are projected onto the ____ of the eye. B. Each input from the ____ is or 1.,nucleotide,solenoid,positively,*retina
solstice,science,"6,7,8",32,,MC,5,"A. Since both CHANike and Christmas were originally winter ____ celebrations, they often coincide and compete. B. At the winter ____ two daggers touch the outsides of the spiral.",hardwood,*solstice,polarize,cnidarian
sunscreen,science,"6,7,8",32,,MC,5,A. Experts advise that ____ be reapplied every one to two hours. B. I use a ____ whenever there is even a remote possibility that I will be in the sun.,reverberation,*sunscreen,polyester,predation
terrestrial,science,"6,7,8",32,,MC,5,A. Newton proposed that heavenly and ____ motion could be unified with the idea of gravity. B. Many ____ forms simply did not live in environments in which preservation was possible.,*terrestrial,animalia,commutator,dermis
antigen,science,"6,7,8",31,,MC,5,"A. Proliferating cell nuclear ____ immunohistochemical technique although a promising method of assessing cell proliferation has yet to be fully standardised. B. The hepatitis B ____ is found in blood, saliva, urine, semen, vaginal secretions and possibly other body fluids.",tidal,equatorial,heterozygous,*antigen
molecular,science,"6,7,8",31,,MC,5,A. This substance has now been cloned by ____ biologists. B. The research will provide direct insight into ____ mechanisms.,precision,symbiotic,chromosphere,*molecular
negatively,science,"6,7,8",31,,MC,5,A. Housework is ____ valued as a retreat from a disliked alternative  employment work. B. Electrons are ____ charged with electricity.,pseudoscience,fracture,*negatively,dermis
appendix,science,"6,7,8",30,,MC,5,A. His ____ ruptured and he had to be rushed to hospital. B. The main entry also cross-refers you to the ____ on page 259.,diatom,vertebrae,cyclic,*appendix
emission,science,"6,7,8",30,,MC,5,A. The ____ of gases such as carbon dioxide should be stabilised at their present level. B. Houses are one of the main carbon dioxide ____ sources and tree planting is a step towards rectifying that damage.,*emission,sewage,apparatus,conjugation
genetics,science,"6,7,8",30,,MC,5,A. Students are flocking to such fields as ____ and molecular biology. B. Knowledge in the field of ____ has been developing very rapidly.,airway,diffuse,optical,*genetics
infectious,science,"6,7,8",30,,MC,5,A. It was an ____ organism that he studied. B. Her joy was so ____ that he momentarily forgot his own fears for the future.,ginkgo,radish,insulin,*infectious
kelvin,science,"6,7,8",30,,MC,5,A.This practice is permissible because the magnitude of the degree Celsius is equal to that of the ____. B. The degree Celsius is also subject to the same rules as the ____ with regard to the use of its unit name and symbol.,*kelvin,socket,clot,chromatin
replication,science,"6,7,8",30,,MC,5,"A. Loss of viral ____ by interferon can lead to a substantial regression of liver disease and probably prolonged survival. B. Thus ____ begets ____, until the costs of these counterproductive activities finally bring the organization to a long-delayed breaking point.",steepness,*replication,carbonic,parasitism
trough,science,"6,7,8",30,,MC,5,A. Inflation fell to a ____ of 3.3%. B. A ____ of low pressure over hilly areas will bring heavy thunderstorms overnight.,viscosity,pathway,*trough,resonance
bacterial,science,"6,7,8",29,,MC,5,A. Brain lesions can be caused by ____ infections. B. Be prepared to insist: if it is ____ meningitis early treatment with antibiotics is vital.,inhalation,hydrocarbon,urinary,*bacterial
longitudinal,science,"6,7,8",29,,MC,5,A. The plant's stem is marked with thin green ____ stripes. B. The ____ data will be utilised to investigate change over time and the factors which predict good or poor outcome.,dilate,detergent,*longitudinal,testes
piston,science,"6,7,8",29,,MC,5,A. A ____ links to a drive shaft by means of a connecting rod. B. The ____ slides noiselessly up and down.,blurry,vector,*piston,inflammation
potassium,science,"6,7,8",29,,MC,5,A. The ____ content of foodstuffs is very variable. B. No ____ did we find in this mineral.,anode,cohesion,photochemical,*potassium
stratosphere,science,"6,7,8",29,,MC,5,"A. It forces real interest rates into the ____ and makes rapid growth extremely difficult. B. It was the Unwins, in the ____ of ecstasy, who led Upper Gumtree into the winners' circle.",platinum,splint,*stratosphere,thyroid
bacterium,science,"6,7,8",28,,MC,5,A. They have isolated the ____ in its pure form. B. A ____ is identified as the cause for his duodenal ulcer.,genome,subarctic,*bacterium,neon
cleavage,science,"6,7,8",28,,MC,5,A. There is a marked ____ between the parties about the government's defence policy. B. And show your ____ in our dazzling separates.,*cleavage,shale,plasmid,reticulum
displace,science,"6,7,8",28,,MC,5,A. The building of a new dam will ____ thousands of people who live in this area. B. I'm trying to ____ him in his job.,spectroscope,radon,*displace,reactor
divergent,science,"6,7,8",28,,MC,5,"A. They hold widely ____ opinions on controversial issues like abortion. B. The potential for ____ interpretations of visible metaphors, requiring relatively little resolving effort, is fairly minimal.",centripetal,*divergent,dispersion,combustible
excess,science,"6,7,8",28,,MC,5,A. The road of ____ leads to the palace of wisdom. B. Another complication was the ____ of imports over exports.,fatty,seismogram,*excess,ionosphere
insulin,science,"6,7,8",28,,MC,5,A. She has been injecting herself with ____ since the age of 16. B. Daily ____ injections are necessary for some diabetics.,transfusion,dermis,*insulin,overtone
repel,science,"6,7,8",28,,MC,5,A. No human can ____ a firm hope. B. Two positive charges ____ each other.,hydrothermal,canister,*repel,influenza
symptom,science,"6,7,8",28,,MC,5,A. Mary's ____ is similar to Joseph's in some way. B. The riot is a ____ of political instability.,doorknob,*symptom,resultant,smelt
decomposition,science,"6,7,8",27,,MC,5,"A. A farmyard midden may become waterlogged, its ____ anaerobic, and substances may be leached out by rain. B. I would appreciate some detailed information on ____ and the time involved in order to help me answer the question.",*decomposition,ovulation,cerebrum,nonpolar
endothermic,science,"6,7,8",27,,MC,5,"A. How is it possible for ____ processes to occur spontaneously, and will a given reaction occur spontaneously? B. The decomposition reaction is ____ reaction for the ground state of hydrazine, but it is exothermic reaction for the first excited singlet state of hydrazine.",*endothermic,receptor,synthetic,dinoflagellate
landmass,science,"6,7,8",27,,MC,5,"A. When this ____ begins to warm up that section of the mantle, the cycle begins anew. B. Then suddenly the ____ tears apart.",catalyst,*landmass,primate,electrode
martian,science,"6,7,8",27,,MC,5,A. The ____ atmosphere contains only tiny amounts of water. B. But my mind was stuck on this ____ theory.,evolutionary,inactive,*martian,inject
pupil,science,"6,7,8",27,,MC,5,A. The ____ leaned to the ground to pick up a wallet. B. The teacher threatened to kick the impudent ____ out of the room.,catfish,*pupil,argon,bromine
absorption,science,"6,7,8",26,,MC,5,A. Complete ____ in sport will interfere with your studies. B. His work suffered because of his total ____ in sport.,hydrocarbon,barnacle,*absorption,spacesuit
alpha,science,"6,7,8",26,,MC,5,A. Collective bargaining was viewed as the ____ and omega of trade unionism. B. The isotopes are measured by counting their ____ emissions; each isotope emits ____ radiation of a characteristic frequency.,nucleotide,seaweed,flagella,*alpha
antenna,science,"6,7,8",26,,MC,5,"A. He said he would head the ____ with a ball. B. In our village, there is an ____ on every roof for receiving TV signals.",headland,*antenna,syringe,femur
ecoregion,science,"6,7,8",26,,MC,5,A. This ____ is classified as having a high-boreal ecoclimate and a lowarctic oceanographic regime. B. This ____ is home to nine times as many stony corals as live in the Caribbean Sea and more than twice the number found in the Indian Ocean.,tertiary,magnification,hairlike,*ecoregion
magnification,science,"6,7,8",26,,MC,5,A. When viewed at high ____ it is clear that the crystals are quite different. B. The microscope has a ____ of 1000.,pulmonary,fossilize,connective,*magnification
mesozoic,science,"6,7,8",26,,MC,5,"A. The Badao deposit is a typical ____ volcanic rock - hosting deposit. B. Fula sub basin is a ____ and Cenozoic continental rifted basin, which is controlled by the Center Africa Strike slip fault.",nucleic,covalent,*mesozoic,endotherm
receptor,science,"6,7,8",26,,MC,5,"A. The ____ molecules are conduits for information, with one end outside the cell and the other inside. B. A specific leukotriene ____ antagonist awaits development.",cellulose,*receptor,thaw,sunscreen
smog,science,"6,7,8",26,,MC,5,"A. We were prevented by heavy ____ from seeing anything. B. Cars cause pollution, both ____ and acid rain.",inhalation,purebred,*smog,nucleotide
watershed,science,"6,7,8",26,,MC,5,A. Darwin's theory of evolution was a ____ dividing the old way of thinking from the new. B. The year 196was a ____ in her life - she changed her career and changed her partner.,urinary,hominid,*watershed,polyester
cartilage,science,"6,7,8",25,,MC,5,A. I've damaged a ____ in my knee. B. He has a torn ____ in his knee.,contaminate,overtone,*cartilage,luminosity
convergent,science,"6,7,8",25,,MC,5,A. The member states should start to have more ____ policies. B. Finally any head string which uses the ____ node number must be removed as it is no longer available.,cohesion,stimuli,protozoan,*convergent
eukaryotic,science,"6,7,8",25,,MC,5,"A. The evolution of the ____ cell is discussed more fully overleaf. B. Plants, animals, and fungi have ____ cells, containing distinct nuclei and several other kinds of organelle.",trophic,*eukaryotic,flask,adulthood
exothermic,science,"6,7,8",25,,MC,5,A. The energy that is lost during an ____ reaction is first transferred to the reaction mixture. B. It is another ____ contributor to the proton - proton cycle.,vaporize,pasture,*exothermic,agar
lymphatic,science,"6,7,8",25,,MC,5,A. These chylomicrons enter the blood through the ____ system where they impart a turbid appearance to serum. B. The filtering function of ____ tissue enables the tonsils and adenoids to trap pathogens.,*lymphatic,sunscreen,energetic,intake
nucleic,science,"6,7,8",25,,MC,5,"A. Unlike larger polypeptides and proteins, small ____ acid duplexes and hairpins do not have a dense core to which this effect would apply. B. Transfection is a process whereby ____ acid, primarily as recombinant DNA of known sequence and functionality, is placed in a target cell.",forage,*nucleic,ampere,eardrum
unstable,science,"6,7,8",25,,MC,5,A. This bookcase is too ____ to hold so many books. B. The world is a precarious and ____ place.,genome,*unstable,asthma,roundworm
eukaryote,science,"6,7,8",24,,MC,5,"A. Prokaryote cells evolved first and gave rise to ____ cells. B. They generally reside in ____ and take part in the regulation of various physiological and pathological pathways such as cell differentiation, proliferation, and apoptosis.",sulfuric,cosmetic,martian,*eukaryote
transmission,science,"6,7,8",24,,MC,5,A. Education is the ____ of civilization. B. The influenza virus has shown person-to-person ____ in a given locale.,*transmission,replication,vaccination,seismogram
ultrasound,science,"6,7,8",24,,MC,5,"A. Most women will be offered an ____ scan during pregnancy, although it's not obligatory. B. I had an ____ scan to see how the pregnancy was progressing.",biosphere,fracture,viscosity,*ultrasound
bloodstream,science,"6,7,8",23,,MC,5,A. Bacteria was introduced into his ____ through an unsterile needle. B. Refined sugars are absorbed into the ____ very quickly.,permafrost,adulthood,*bloodstream,hairlike
diploid,science,"6,7,8",23,,MC,5,"A. Each of the two cells now contains a ____ nucleus, containing both maternal and paternal chromosomes. B. There is no ____ nucleus, with a complete complement of chromosomes, until we reach the two-cell stage.",europa,amino,pseudoscience,*diploid
genetically,science,"6,7,8",23,,MC,5,A. A person's health is often ____ predetermined. B. How many of these traits are ____ inherited?,biodiversity,*genetically,evolution,genetics
haploid,science,"6,7,8",23,,MC,5,"A. Reduced to just the ____ maternal complement of chromosomes, the egg develops into a male. B. Diploidy is restored when two ____ gametes fuse.",seesaw,transistor,invert,*haploid
interphase,science,"6,7,8",23,,MC,5,"A. Laser microbeam irradiation of both nucleoli in ____ cells 3hr before mitosis, and nucleoli in preprophase cells resulted in the formation of micronucleoli after mitosis. B. A large mass of metaphase or ____ cells can be detected by fluorescence in situ hybridization on chromatosome and bone marrow smears to examine the number and structure of chromatosome .",ceramic,mesozoic,kelvin,*interphase
phosphorus,science,"6,7,8",23,,MC,5,"A. Platinum combines with ____ and arsenic and is seldom found without an admixture of related metals. B. The different soda, magnesia and ____ pentoxide levels can be related to the use of a different soda source.",hologram,ethanol,mountainside,*phosphorus
topography,science,"6,7,8",23,,MC,5,"A. The ____ of the river's basin has changed significantly since the floods. B. In circumstances where the ____ was not clear, patients received only sigmoid colon infusions.",*topography,tidal,diode,forage
alkali,science,"6,7,8",22,,MC,5,A. When an acid and an ____ react together the result is a salt and water. B. Discarded acid should be neutralized with ____ before disposal.,*alkali,alkali,evolutionary,emission
allergy,science,"6,7,8",22,,MC,5,A. There is often no clear distinction between an ____ and food intolerance. B. This type of ____ can very occasionally be fatal.,abdomen,cohesion,focal,*allergy
amoeba,science,"6,7,8",22,,MC,5,A. The ____ is a very simple organism. B. The ____ is just as much an animal as the elephant.,chromatin,sandbar,parental,*amoeba
anode,science,"6,7,8",22,,MC,5,"A. A battery is connected to the ____ and cathode via leads A and C respectively. B. The ____ effect is a characteristic phenomenon in molten salts electrolysis, especially in aluminium electrolysis.",precision,isotope,*anode,aspirin
bilateral,science,"6,7,8",22,,MC,5,A. The talks centred on ____ trade. B. They have been negotiating a ____ trade deal.,utility,genetics,mudflow,*bilateral
binary,science,"6,7,8",22,,MC,5,"A. Using ____ notation is in fact just manipulating ones and noughts. B. The instructions are translated into ____ code, a form that computers can easily handle.",protozoan,thaw,polyester,*binary
diabetes,science,"6,7,8",22,,MC,5,A. Common symptoms of ____ are weight loss and fatigue. B. He suffered from ____ and gastric ulcers.,*diabetes,inflammation,cyclic,aerobic
hydroxide,science,"6,7,8",22,,MC,5,"A. In the Somogyi-Nelson procedure, barium ____ a d zinc sulfate are used to precipitate proteins. B. The same volume of sodium ____ with the same concentration was then added to the acid.",tarantula,evolutionary,*hydroxide,contaminate
ohm,science,"6,7,8",22,,MC,5,"A. Note also that an ____ loudspeaker is needed. B. Finally, there are two ____ speaker outputs,[http://sentencedict.com/____.html] with one being used for the unit's internal driver.",*ohm,bloodstream,transfusion,stigma
steepness,science,"6,7,8",22,,MC,5,"A. The situation is already difficult because of the ____ of the slope without the complications imposed by the roots. B. Because of ____ of its faces , it is virtually inaccessible from the north, south, and east.",*steepness,homozygous,lymphatic,propulsion
viscosity,science,"6,7,8",22,,MC,5,A. It has a very high ____ which requires that it be raised to about 250-F to pump and spray into the furnace. B. Thixotropic means the ____ of the gel is reduced when it is worked with a palette knife.,*viscosity,atmospheric,bony,fusion
activation,science,"6,7,8",21,,MC,5,A. A computer controls the ____ of an air bag. B. One of these techniques is neutron ____ analysis.,lanthanide,cochlea,*activation,clastic
adulthood,science,"6,7,8",21,,MC,5,A. His problems began in early ____. B. ____ and responsibility seemed impossibly remote.,insulin,crystalline,*adulthood,nonpolar
beverage,science,"6,7,8",21,,MC,5,"A. Fast food items and fountain ____ sales are big earners. B. They ordered seafood and the ____ special, which was available to favored customers.",bloodstream,*beverage,asthenosphere,endoplasmic
cardiovascular,science,"6,7,8",21,,MC,5,"A. Smoking places you at serious risk of ____ and respiratory disease. B. For other ____ problems, such as stroke, the estrogen users had a 7% reduction in mortality.",*cardiovascular,divergent,dermis,diatom
catalyst,science,"6,7,8",21,,MC,5,A. A ____ is a substance which speeds up a chemical reaction. B. The high suicide rate acted as a ____ for change in the prison system.,*catalyst,hemoglobin,heterogeneous,hydronium
