version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 9-12,domains: science,,,,,,
secrete,science,"9,10,11,12",72,,MC,5,A. The pores of your body ____ sweat. B. The sweat glands ____ water.,scarp,certification,*secrete,barium
glycolysis,science,"9,10,11,12",70,,MC,5,"A. Consequently, these mutant cells rely exclusively on ____ for their energy requirements and require exogenous pyruvate and pyrimidines for growth. B. The glucose not used in ____ is metabolized via a second pathway, the hexose monophosphate (HMP) shunt.",gravitationally,*glycolysis,dissect,effusion
hydrate,science,"9,10,11,12",69,,MC,5,A. After-sun products will cool and ____ your skin. B. Mrs Fellows is well nourished and well ____d before she has surgery.,menstruation,*hydrate,disinfect,cytokinin
interstellar,science,"9,10,11,12",69,,MC,5,A. Zephro Carnelian has his own ____ craft in a berth. B. Hoyle suggested that a cloud of ____ gas could develop a consciousness.,*interstellar,seamount,selenium,stewardship
acetic,science,"9,10,11,12",67,,MC,5,A. Vinegar contains ____ acid. B. The ____ acid process described above is an example.,dissipate,greenish,emerald,*acetic
ammonium,science,"9,10,11,12",67,,MC,5,A. More ____ sulphate solution is being recovered in the process of distilling oil shale. B. Spence's product was an ____ alum which gradually displaced the potash alum which had been made principally at Whitby.,*ammonium,subatomic,inertial,dissect
relativity,science,"9,10,11,12",67,,MC,5,A. The theory of ____ originates with Albert Einstein. B. Some people find the idea of ____ difficult to grasp.,gibbous,histamine,micrometer,*relativity
stabilize,science,"9,10,11,12",67,,MC,5,A. The gyroscope in tank is used to ____ the aim system of the gun. B. It is anticipated that inflation will ____ at 3%.,hematite,cytochrome,enthalpy,*stabilize
polymerase,science,"9,10,11,12",66,,MC,5,A. Details of the ____ chain reaction are given in a previous publication. B. A thermostable DNA ____ is added to the same tube.,*polymerase,yolk,recombination,interstellar
regulatory,science,"9,10,11,12",66,,MC,5,A. Too strict a ____ system will stifle innovation. B. The profession is policed by its own ____ body.,paleontology,metabolic,nozzle,*regulatory
subatomic,science,"9,10,11,12",62,,MC,5,"A. Unexpected things can happen in the world of ____ particles. B. The residue will consist of cold, invisible, ____ ashes.",*subatomic,venomous,puberty,varnish
electronegativity,science,"9,10,11,12",60,,MC,5,"A. In general, as the difference in ____ between two elements forming a bond decreases, so does the bond enthalpy. B. Agreement tends to be far better when the ____ difference between the two ions is high.",anatomical,*electronegativity,ductile,adiabatic
nucleon,science,"9,10,11,12",59,,MC,5,A. Recent developments in particle physics suggest that every ____ may itself have a nucleus. B. The achievements and the remaining problems of the ____ structure and force are reviewed.,*nucleon,ribosomal,exoplanet,anatomical
sporophyte,science,"9,10,11,12",59,,MC,5,"A. In vascular plants the diploid ____ is the dominant phase and in the ferns, for example, the gametophyte is a small prothallus . B. The ____ body comprises a long stalk, called a seta, and a capsule capped by a cap called the operculum.",solubilities,biofuel,*sporophyte,venomous
aggregate,science,"9,10,11,12",58,,MC,5,"A. The football team had a low goal ____ last season. B. The smaller minorities got an ____ of 1,32votes.",*aggregate,cathode,vestigial,catapult
quark,science,"9,10,11,12",58,,MC,5,"A. Calculating the probability of the ____ following this path from A to B involves integration, which is always difficult for computers. B. Stir in the ____ to thicken the sauce.",wavefront,blackbird,*quark,cholerae
deplete,science,"9,10,11,12",57,,MC,5,"A. If we continue to ____ the Earth's natural resources, we will cause serious damage to the environment. B. Surely it is an economic nonsense to ____ the world of natural resources.",adhesive,operant,*deplete,varnish
electrolysis,science,"9,10,11,12",57,,MC,5,A. That in turn requires extraction and ____ of 45tons of water and liquefaction of the resulting 5tons of hydrogen. B. The high-temperature ____ scheme that we explored in connection with a lunar base can separate carbon dioxide into oxygen and carbon monoxide.,*electrolysis,chemosynthesis,micrometer,flagellate
polarity,science,"9,10,11,12",56,,MC,5,A. The film is based on the ____ of the two main characters. B. This suggests a high degree of ____ between low income renters and high income owner-occupiers.,aqueous,keton,nonspecific,*polarity
radioisotope,science,"9,10,11,12",56,,MC,5,"A. The ____ thermoelectric generators steadily generate large amounts of power regardless of where they are in space. B. Heat source, general symbol. Right - click for ____ or combustion heat source.",anhydrous,leach,protostome,*radioisotope
cladogram,science,"9,10,11,12",55,,MC,5,"A. To represent this, we have used multiple lines drawn to paraphyletic groups in the ____ above. B. Neither of these jawless fish has a bony skeleton, but most of the fossil groups listed on the ____ had a fairly extensive covering of bony plates.",jawless,*cladogram,poultry,flux
titration,science,"9,10,11,12",54,,MC,5,A. Invitro experiments show back ____ to be very accurate and precise in determining the alkali content of standard bicarbonate solutions. B. The slope of ____ curve is at a minimum.,testis,taxa,*titration,wobble
barium,science,"9,10,11,12",53,,MC,5,"A. The gastrointestinal investigations comprised sigmoidoscopy, ____ enema and upper intestinal endoscopy as these are most readily available in the United Kingdom. B. I was in the process of administering a ____ enema.",disperse,*barium,larval,steroid
stellar,science,"9,10,11,12",53,,MC,5,A. The crash of the whole solar and ____ systems could only kill you once. B. A ____ wind streams outward from the star.,nonnative,*stellar,supersaturated,streetlight
fluoride,science,"9,10,11,12",52,,MC,5,A. It is a proven fact that ____ strengthens growing teeth. B. Some dentists are convinced that the addition of ____ in water is ineffective as a prophylactic treatment.,payload,*fluoride,downwind,alkyne
forensic,science,"9,10,11,12",51,,MC,5,"A. Apart from criminal investigation techniques, students learn ____ medicine, philosophy and logic. B. They were convicted on ____ evidence alone.",taxa,*forensic,mucous,repulsion
positron,science,"9,10,11,12",51,,MC,5,"A. When an electron collides with a ____ the two particles disappear, or annihilate, to create a high-energy photon. B. The Harvard group use ____ emission tomography ( PET ) scans to monitor the brain activity.",arthritis,ribosomal,*positron,schematic
stewardship,science,"9,10,11,12",51,,MC,5,A. Some critics have doubts about his ____ of the nation. B. And he called it the long-term ____ of a precious natural resource.,*stewardship,interferon,polymerization,adenine
benzene,science,"9,10,11,12",50,,MC,5,A. The ____ vaporized and formed a huge cloud of gas. B. For over six months faulty filters were letting ____ through.,*benzene,inert,luminol,formic
chromium,science,"9,10,11,12",50,,MC,5,"A. Hot light leapt out from the damascened ____ steel nozzle in a dazzling silver thread. B. High levels of cadmium, lead and ____ were also found in sediment in the Dogger Bank.",ductility,blastula,silicate,*chromium
manganese,science,"9,10,11,12",50,,MC,5,"A. These include lead and antimony, nickel, ____ and zinc, and bismuth and iron. B. When ____ is ingested, the liver determines how much of the metal the body needs.",coolant,constrict,*manganese,buffer
adaptive,science,"9,10,11,12",49,,MC,5,A. Societies need to develop highly ____ behavioural rules for survival. B. Weights are ____ coefficients within the network that determine the intensity of the input signal.,anthrax,disperse,*adaptive,carpel
silicate,science,"9,10,11,12",49,,MC,5,A. These ____ groups come together by sharing oxygen atoms to produce a variety of structures. B. Many ____ minerals also have polymeric chain structures.,lytic,dissociate,gastropod,*silicate
specialization,science,"9,10,11,12",48,,MC,5,A. The production line involves a high degree of ____ of labour. B. His ____ is too narrow to be of interest to more than a handful of students.,*specialization,endosperm,yellowish,mutagen
octet,science,"9,10,11,12",47,,MC,5,A. An ____ from Howard was invited to sing for some religious programmes. B. What is ____ rule? In which of the following species is this rule violated?,dialysis,peptide,*octet,veterinary
oscillate,science,"9,10,11,12",47,,MC,5,A. My emotions ____ between desperation and hope. B. Manic depressives ____ between depression and elation.,phylogenetic,beet,detritivore,*oscillate
lineage,science,"9,10,11,12",46,,MC,5,A. They can trace their ____ directly back to the 18th century. B. Two cell ____ markers have been applied recently to the pre-implantation mouse embryo.,probeware,irregularly,amniote,*lineage
bombard,science,"9,10,11,12",45,,MC,5,"A. Overprotective parents may ____ their young children with messages that reinforce their lack of mastery. B. Scientists use virus neutron as cannonball to ____ the cell genetic nuclide, observing whether or not it can go through the cell reaction while producing some untapped artificial radionuclide.",photosystem,*bombard,icecap,bioluminescence
curvature,science,"9,10,11,12",45,,MC,5,"A. He suffered from ____ of the spine. B. In my opinion, the ____ was determined experimentally.",developmental,*curvature,gastric,thermochemical
lattice,science,"9,10,11,12",45,,MC,5,A. We were crawling along the narrow steel ____ of the bridge. B. The relatively static ____ in a diamond ensures that the scattering is at a minimum and the thermal conductivity is exceptionally good.,probeware,convective,*lattice,nomenclature
spontaneously,science,"9,10,11,12",45,,MC,5,A. What are the chances of these molecules springing ____ into existence? B. The fuel ____ ignites because of the high temperature and pressure.,hypochlorite,*spontaneously,substituent,mollusk
arsenic,science,"9,10,11,12",44,,MC,5,A. Belladonna and red ____ are deadly poisons . B. The analysis showed a few grains of ____ in the solution.,*arsenic,sanitary,pyruvic,forestry
calorimeter,science,"9,10,11,12",44,,MC,5,"A. A ____ is an insulated vessel used for measuring the quantity of energy released or absorbed during a chemical or physical change. B. These record of time and the change of ____ temperature, adopt Reynolds temperature correction to evaluate the change of ____ temperature, calculate the decompound enthalpy of solid.",*calorimeter,mnemonic,radiator,reversible
octave,science,"9,10,11,12",44,,MC,5,A. These notes are an ____ apart. B. He's singing an ____ lower than the rest of us.,carcinogen,microgravity,*octave,jawless
steroid,science,"9,10,11,12",44,,MC,5,"A. This ____ is sometimes given by injection. B. Topical ____ requirement - To allow monitoring, topical ____s were prescribed by the investigator.",chemosynthetic,tritium,*steroid,monotreme
desalination,science,"9,10,11,12",43,,MC,5,"A. Nor is large-scale ____ of ocean water economical. B. The islands are also installing a ____ plant to produce 50,00gallons of water a year.",australopithecine,*desalination,carboxyl,nonpoint
meristem,science,"9,10,11,12",43,,MC,5,"A. Primary ____ of Cynomorium songaricum Rupr. is composed of protoderm, ground ____ and procambium strands that line a wavelike ring in the ground ____. B. Outside of stele the cortical ____ developed into cortex, epidermis and the root cap subsequently.",fissionable,*meristem,geosphere,micrograph
metabolic,science,"9,10,11,12",43,,MC,5,A. Fish normally have a high ____ rate. B. Your ____ rate is the speed at which your body transforms food into energy.,mildew,*metabolic,arsenic,nozzle
thylakoid,science,"9,10,11,12",43,,MC,5,"A. In this paper, the function and composition of ____ membrane, and its change under low temperature stress are depicted. B. Besides, chlorophyll content, soluble protein, ____ membrane lipids fatty acid instauration and activity of Violaxanthin de-epoxidase(VDE)were all decreased with the progress of senescence.",fructose,molar,*thylakoid,coulomb
alkyl,science,"9,10,11,12",42,,MC,5,A. Lyso platelet activating factor and ____ acyl glycerophosphocholine were not significantly higher in Crohn's disease than in controls. B. Amines can be prepared by heating and ____ ammonium salt with an alkali.,micrograph,diversify,wobble,*alkyl
nitric,science,"9,10,11,12",42,,MC,5,"A. When ____ acid is poured on copper, a brown vapor gives off. B. The ____ acid solution is then mixed with an organic solvent and the uranium and plutonium are separated from the waste products.",expend,biodiesel,jawless,*nitric
tangential,science,"9,10,11,12",42,,MC,5,A. Too much time was spent discussing ____ issues. B. The matter you raise is rather ____ to this discussion.,fleshy,triphosphate,deterioration,*tangential
vesicle,science,"9,10,11,12",42,,MC,5,"A. He had just emptied his seminal ____s into Valencia, had contributed his share of the Green Beret. B. These five ____s differentiate into the final structure of the brain.",wafer,*vesicle,horsepower,mountaintop
flux,science,"9,10,11,12",41,,MC,5,A. Things have been in a state of ____ since father's death. B. The world is in continuous ____ and is impermanent.,carbonyl,embryonic,varnish,*flux
photoelectric,science,"9,10,11,12",41,,MC,5,A. Electrical and ____ properties of thin films. B. The ____ characteristics show that it has excellent sensitivity of 0.7Lx. s to the visible light and is a favorable organic photo-conductive material for xerographic printing.,ammonium,drainage,scarp,*photoelectric
colloidal,science,"9,10,11,12",40,,MC,5,A. Development of freeform fabrication in ____ forming processing of special ceramics is reviewed. B. The ____ material is utilized to envelop the circuit board unit and the part of the conducting wire holder.,vanadium,weld,metamorphism,*colloidal
drainage,science,"9,10,11,12",40,,MC,5,A. The ____ system consisted of a few open ditches to facilitate run-off. B. Bad ____ caused the land to be flooded.,*drainage,preservative,auditory,environmentally
halo,science,"9,10,11,12",40,,MC,5,"A. When there is solar ____ , it will rain; when there is lunar ____ , it will blow. B. The sun had a faint ____ round it.",*halo,electrolysis,epidermal,paleontology
immerse,science,"9,10,11,12",40,,MC,5,A. I ____ my clothes in the water. B. People can ____ themselves in the spiritual dimension without being religious at all.,crosscutting,lamprey,*immerse,anion
insoluble,science,"9,10,11,12",40,,MC,5,A. Carotenes are ____ in water and soluble in oils and fats. B. Sand is ____ in water.,airborne,*insoluble,plutonium,covalently
iodide,science,"9,10,11,12",40,,MC,5,"A. Inorganic ____ is then converted to an active form, organic iodine. B. In the greenish cast of the thallium ____ driving light, Pat lands us gently on pillow basalts.",cervix,emerald,geneticist,*iodide
parasitic,science,"9,10,11,12",40,,MC,5,"A. He lives a ____ existence, borrowing money from his friends. B. Will global warming mean the spread of tropical ____ diseases?",visibility,micrograph,dehydration,*parasitic
colloid,science,"9,10,11,12",39,,MC,5,"A. The components of ____ in kenaf bast fiber were assayed, and mechanism of degumming was expounded in molecular level. B. The invention relates to a ____ tartro-bismuthate and a drug preparation, a preparation method and application of the ____ tartro-bismuthate.",supersaturated,hippopotamus,*colloid,stabilization
diversify,science,"9,10,11,12",39,,MC,5,A. The company is planning to ____ into other mining activities. B. Many wheat farmers have begun to ____ into other forms of agriculture.,undersea,ferment,hypotonic,*diversify
geological,science,"9,10,11,12",39,,MC,5,A. The mines had been closed down following a ____ survey. B. The ____ prospecting team ranged over the desert in search of valuable deposits of oil.,*geological,cottonwood,kilocalorie,forelimb
lactic,science,"9,10,11,12",39,,MC,5,A. Now they wear rubber fingers treated with ____ acid. B. They effect formation of ____ acid and flavor components.,protostome,mountaintop,*lactic,embryonic
modification,science,"9,10,11,12",39,,MC,5,A. I intend no ____ of my hope...expressed personal wish that all men everywhere could be free. B. Considerable ____ of the existing system is needed.,*modification,gastrula,ionization,phenotypic
substrate,science,"9,10,11,12",39,,MC,5,"A. The ____ is a total cDNA library. B. A gravel ____ will also help, using a fine grade to avoid the fry getting stuck.",basal,luminol,hepatitis,*substrate
corrosion,science,"9,10,11,12",38,,MC,5,A. There was a lot of ____ on the bottom of the car. B. Clean off any ____ before applying the paint.,*corrosion,homeobox,gypsum,pepsin
neutralize,science,"9,10,11,12",38,,MC,5,A. The US is trying to ____ the resolution in the UN Security Council. B. You will need a special chemical to ____ the acid.,meristem,analogous,ethyl,*neutralize
reversible,science,"9,10,11,12",38,,MC,5,"A. Heart disease is ____ in some cases, according to a study published last summer. B. The binding is ____ so that factors that decrease the protein concentration will increase the ionized fraction of calcium in the blood.",*reversible,optic,mutate,diarrhea
typhoon,science,"9,10,11,12",38,,MC,5,"A. A ____ is on its way. B. When the ____ struck, we were afraid our ship might not be able to weather the storm.",*typhoon,radiometric,inhibit,opossum
uniformly,science,"9,10,11,12",38,,MC,5,A. The once - green fields were now ____ brown. B. Critics were ____ enthusiastic about the production.,*uniformly,photoelectron,gallium,sporophyte
anterior,science,"9,10,11,12",37,,MC,5,"A. Specimens for examination were taken from the ____ side of the left ventricle from each heart. B. Both ____ and posterior attention systems have many subcortical partners in doing their job, especially in the thalamus.",nematode,groin,autoimmune,*anterior
electrostatic,science,"9,10,11,12",37,,MC,5,"A. The positive charge of the protons generates an ____ field, which binds the negative electrons of the atom to the nucleus. B. Rigidity is not an issue with the ____ diaphragm.",predatory,monotreme,cytosol,*electrostatic
elongate,science,"9,10,11,12",37,,MC,5,A. The cells ____ as they take in water. B. This time Laura did not ____ herself so much as stretch herself into a kind of thin phlegmy mess.,nitric,nondisjunction,*elongate,quantum
phospholipid,science,"9,10,11,12",37,,MC,5,"A. In addition, the ____ composition of gastric mucosa was compared with that of duodenal mucosa in 1patients with duodenal ulcer. B. Data on the ____ composition in gastric mucosa differ, but there is general agreement on the predominance of phosphatidylcholine and phosphatidylethanolamine.",leathery,*phospholipid,meltwater,transuranium
recombinant,science,"9,10,11,12",37,,MC,5,"A. It also made all health authorities provide ____ alternative for children under 16. B. After nearly 4years of development, ____ DNA technology has become the foundation of biological research.",*recombinant,cathode,riverbed,mycorrhizae
amine,science,"9,10,11,12",36,,MC,5,"A. As the process of decay continues, ____s of lower and lower molecular mass are produced. B. Amine groups are found in medicines and aromatic ____s are used to make dyes.",neural,habilis,*amine,hematite
dissociate,science,"9,10,11,12",36,,MC,5,A. You cannot ____ the Government's actions from the policies which underlie them. B. It is getting harder for the president to ____ himself from the scandal.,apogee,*dissociate,tubelike,chlorate
methyl,science,"9,10,11,12",36,,MC,5,"A. The main line is the ____ methacrylate that goes into paints, surface coating resins and, above all, plastics. B. Unlike caffeine, these molecules have only two ____ groups attached to their xanthine skeleton.",octet,germination,brownian,*methyl
peptide,science,"9,10,11,12",36,,MC,5,A. Renin and atrial natriuretic ____ restriction fragment length polymorphisms: association with ethnicity and blood pressure. B. Novel ____ sequences obtained after enzymatic digestion are shown in Table 1.,clone,crayfish,*peptide,allergen
speciation,science,"9,10,11,12",36,,MC,5,"A. This is not a measurement technique book, although ____ methods using popular approaches are well represented. B. The most widely accepted example of sympatric ____ is that of the cichlids of LakeNabugabo in East Africa, which is thought to be due to sexual selection.",stoichiometric,unpaired,*speciation,gazelle
aromatic,science,"9,10,11,12",35,,MC,5,"A. The wine has a rich ____ flavour. B. Crusty white bread, ____ black coffee with thick sweet cream and buttery cheese had accompanied them.",aroma,dilution,*aromatic,basaltic
deform,science,"9,10,11,12",35,,MC,5,A. Wearing badly-fitting shoes can ____ your feet. B. Heat can ____ plastic.,benzene,hominin,recombination,*deform
embryonic,science,"9,10,11,12",35,,MC,5,A. The scheme is still in its ____ stage. B. The plans are still only in ____ form.,productivity,synthase,*embryonic,germanium
impurity,science,"9,10,11,12",35,,MC,5,A. The ____ of the water is a serious health risk. B. The beans contain an ____ which causes James to become violently ill.,coolant,electrolytic,*impurity,configuration
weld,science,"9,10,11,12",35,,MC,5,A. It's possible to ____ stainless steel to ordinary steel. B. Some metals ____ better than others.,curvature,celt,*weld,butane
bromide,science,"9,10,11,12",34,,MC,5,A. He took a/some ____ to calm his nerves. B. After electrophoresis the gels were stained with ethidium ____ and photographed.,uphill,uracil,airtight,*bromide
capacitance,science,"9,10,11,12",34,,MC,5,A. The ____ may be just stray or it may be associated with further circuitry or equipment connected to the potential divider. B. Circuit of the ____ adapter Fig. 2.,taxonomy,*capacitance,deuterium,incisor
clade,science,"9,10,11,12",34,,MC,5,"A. Initially, research will look at designing antibodies against ____ C, which could be used in a vaccine, he said. B. The remaining species form a well-supported ____ , which in turn can be divided into smaller groups.",gallium,*clade,embryonic,strontium
coulomb,science,"9,10,11,12",34,,MC,5,A. The friction is modeled with a modified ____ friction model. B. Why doesn't it fly apart under the ____ repulsion of like - charge elements?,photosystem,*coulomb,pinpoint,productivity
electrolytic,science,"9,10,11,12",34,,MC,5,"A. Further, ____ polishing in a phosphoric acid solution or polishing with a buff can be conducted instead of the chemical polishing. B. He worked on light metal alloys and the ____ production of potassium and sodium.",trioxide,mutagen,*electrolytic,diversification
ether,science,"9,10,11,12",34,,MC,5,A. Today's news goes into the ____ and is soon forgotten. B. Operations were carried out under light ____ anaesthesia.,polarization,wafer,*ether,recombinant
globular,science,"9,10,11,12",34,,MC,5,A. The ____ seed capsule contains numerous small seeds. B. The plant has distinctive ____ flowers.,albatross,cotyledon,*globular,artesian
phytoplankton,science,"9,10,11,12",34,,MC,5,"A. He studies ____ toxins that are eaten by shellfish, which then become potent vectors of these toxins paralytic to humans. B. As zooplankton become more abundant and eat more ____, the population of ____ should shrink.",seam,hydropower,*phytoplankton,homeobox
polypeptide,science,"9,10,11,12",34,,MC,5,A. Antibodies raised against the gene product identify a ____ with a relative molecular mass of about 400K in all tissues examined. B. Neuropeptide Y is a 3amino acid ____ that was first isolated from the porcine brain in 1982.,guanine,halo,regulator,*polypeptide
quasar,science,"9,10,11,12",34,,MC,5,A. By December the ____ should be distinguishable in the night sky. B. The ____ pair UM673A and UM673B both have red shifts of 2.7and are separated by 2.arcsec.,advent,*quasar,cyanobacteria,systemic
accumulation,science,"9,10,11,12",33,,MC,5,"A. Her only interest was the ____ of money. B. Despite this ____ of evidence, the Government persisted in doing nothing.",*accumulation,somatic,coolant,deoxyribose
climatic,science,"9,10,11,12",33,,MC,5,A. In the summer months a different set of ____ factors come into play. B. The warming of the Earth and the con-sequent ____ changes affect us all.,intrinsic,*climatic,suction,yucca
cortex,science,"9,10,11,12",33,,MC,5,"A. In the rat cerebral ____ in the absence of calmodulin, calcium has a negligible effect at low concentrations. B. It is the second tier of visual ____ that specializes.",adenosine,*cortex,emulsion,thyroxine
dissociation,science,"9,10,11,12",33,,MC,5,A. Nevertheless the association or ____ of the lead isotope signatures for ancient glasses contributes to the overall technological picture for them. B. Both kinds of imbalances lead to withdrawal or ____ from the context.,*dissociation,macrophages,overproduction,carapace
intermolecular,science,"9,10,11,12",33,,MC,5,"A. Generally speaking, ____ forces and the micro structures of the shell material itself have very little influence on overall shell shape. B. These polymers can form ____ hydrogen bonds which greatly enhance crystallite stability.",coordination,*intermolecular,flagellate,optic
